s,d__001,d__002,d__010
NSE:CHOLAFIN,cholamandalam,CHOLAFIN,CHOLAMANDALAM INV
NSE:LAURUSLABS,laurus-labs,LAURUSLABS,LAURUS LABS LTD
NSE:TEXRAIL,,TEXRAIL,TEXMACO RAIL & ENG
NSE:SKIPPER,,SKIPPER,SKIPPER LTD
NSE:SPICEJET,spicejet,SPICEJET,SPICEJET LTD
NSE:BANDHANBNK,bandhan-bank,BANDHANBNK,BANDHAN BANK LTD
NSE:JINDALSAW,jindal-saw,JINDALSAW,JINDAL SAW LTD
NSE:JUMPNET,,JUMPNET,JUMP NETWORKS LTD
NSE:ENGINERSIN,engineers-india,ENGINERSIN,ENGINEERS INDIA
NSE:MAZDOCK,,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD
NSE:USHAMART,,USHAMART,USHA MARTIN
NSE:GENUSPAPER,,GENUSPAPER,GENUS PAPER AND BO
NSE:GODREJCP,godrej,GODREJCP,GODREJ CONSUMER PR
NSE:INDUSINDBK,indusind-bank,INDUSINDBK,INDUSIND BANK LTD
NSE:KELLTONTEC,,KELLTONTEC,KELLTON TECH SOLU
NSE:LXCHEM,,LXCHEM,LAXMI ORGANIC INDUS LTD
NSE:MANINFRA,,MANINFRA,MAN INFRACONSTRUCT
NSE:EXIDEIND,exide,EXIDEIND,EXIDE INDUSTRIES
NSE:J_KBANK,,J_KBANK,JAMMU & KASHMIR BA
NSE:NAVKARCORP,,NAVKARCORP,NAVKAR CORPORATION
NSE:INDHOTEL,indian-hotels,INDHOTEL,INDIAN HOTELS
NSE:DHFL,,DHFL,DEWAN HOUSING FIN
NSE:KALYANKJIL,,KALYANKJIL,KALYAN JEWELLERS IND LTD
NSE:ESCORTS,escorts,ESCORTS,ESCORTS
NSE:UPL,upl,UPL,UPL LTD
NSE:AJMERA,,AJMERA,AJMERA REALTY & IN
NSE:ABCAPITAL,aditya-birla-capital,ABCAPITAL,ADITYA BIRLA CAPIT
NSE:MTEDUCARE,,MTEDUCARE,MT EDUCARE LTD
NSE:GRANULES,granules,GRANULES,GRANULES INDIA
NSE:MSTCLTD,,MSTCLTD,MSTC LTD
NSE:DLINKINDIA,d-link,DLINKINDIA,D-LINK (INDIA)LTD
NSE:MIRZAINT,,MIRZAINT,MIRZA INTERNATIONA
NSE:HDFC,housing-development,HDFC,HOUSING DEVEL FIN
NSE:DCW,,DCW,DCW
NSE:IDFC,idfc,IDFC,IDFC LTD
NSE:RAIN,rain-industries,RAIN,RAIN INDUSTRIES LTD
NSE:THYROCARE,thyrocare,THYROCARE,THYROCARE TECHNOL
NSE:PGINVIT,,PGINVIT,POWERGRID INFRA. INVITS
NSE:RTNINDIA,,RTNINDIA,RATTANINDIA ENT LTD
NSE:ZUARI,,ZUARI,ZUARI AGRO CHEMICA
NSE:UJJIVAN,ujjivan,UJJIVAN,UJJIVAN FIN SERV
NSE:JMCPROJECT,,JMCPROJECT,JMC PROJECTS IND
NSE:SHRENIK,,SHRENIK,SHRENIK LTD
NSE:MOTILALOFS,,MOTILALOFS,MOTILAL OSWAL FINA
NSE:LEMONTREE,,LEMONTREE,LEMON TREE HOTELS
NSE:MAJESCO,,MAJESCO,MAJESCO LTD
NSE:TATACONSUM,tata,TATACONSUM,TATA CONSUMER PRODUCT LTD
NSE:PTC,ptc-india,PTC,PTC INDIA LTD
NSE:PCJEWELLER,pc-jeweller-limite,PCJEWELLER,PC JEWELLER LTD
NSE:KRBL,krbl,KRBL,KRBL LTD
NSE:RSSOFTWARE,,RSSOFTWARE,RS SOFTWARE (I)
NSE:CONCOR,container,CONCOR,CONTAINER CORP
NSE:GSFC,gujarat-state-fertilizers-and-ch,GSFC,GUJARAT STATE FER
NSE:PURVA,,PURVA,PURAVANKARA LTD
NSE:STAR,strides-pharma,STAR,STRIDES PHARMA SCI
NSE:MCDOWELL_N,united-spirits,MCDOWELL_N,UNITED SPIRITS
NSE:SWSOLAR,,SWSOLAR,STERLING & WILSON SO LTD
NSE:GREENPLY,,GREENPLY,GREENPLY INDUSTRIE
NSE:VIKASWSP,,VIKASWSP,VIKAS WSP
NSE:LIKHITHA,,LIKHITHA,LIKHITHA INFRASTRUC LTD
NSE:DFMFOODS,,DFMFOODS,D F M FOODS
NSE:TATAMTRDVR,tata,TATAMTRDVR,TATA MOTORS LTD.
NSE:MPHASIS,mphasis,MPHASIS,MPHASIS LTD
NSE:GUJGASLTD,gujarat-gas,GUJGASLTD,GUJARAT GAS LTD
NSE:ISEC,icici-securities-l,ISEC,ICICI SEC. LTD
